id,price,old_price,model,descript,width,height,rim,r_type,brand,country,inStock,tech,type,size,created_at,updated_at,img,img_big,class,active,slug,tube,type_arch,sort_id
1,6540,0,Farm Implement I-1,,9.5L,-,14,,Firestone,США,0,8 слоёв,,9.5L-14,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,95l-14-firestone-farm-implement-i-1-8-sloev,Бескамерная,Диагональная,1
2,7300,0,Farm Implement I-1,,11L,-,14,,Firestone,США,0,8 слоёв,,11L-14,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,11l-14-firestone-farm-implement-i-1-8-sloev,Бескамерная,Диагональная,1
3,6535,0,Farm Implement I-1,,7.60,-,15,,Firestone,США,0,8 слоёв,,7.60-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,760-15-firestone-farm-implement-i-1-8-sloev,Бескамерная,Диагональная,1
4,5960,0,DURA-LIFE I-1,,7.60,-,15SL,,Titan,США,0,8 слоёв,,7.60-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/dl_m.png,/img/tires/dl.png,Сельхоз шины,1,760-15-titan-dura-life-i-1-8-sloev,Бескамерная,Диагональная,1
5,8900,0,Farm Implement I-1,,9.5L,-,15,,Firestone,США,0,12 слоёв,,9.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,95l-15-firestone-farm-implement-i-1-12-sloev,Бескамерная,Диагональная,1
6,8130,0,HI-FLOTATION I-1,,9.5L,-,15SL,,Titan,США,0,12 слоёв,,9.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,95l-15-titan-hi-flotation-i-1-12-sloev,Бескамерная,Диагональная,1
7,8620,0,HIGHWAY IMPLEMENT F-1,,9.5L,-,15FI,,Titan,США,0,F,,9.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,95l-15-titan-highway-implement-f-1-f,Бескамерная,Диагональная,1
8,9325,0,Farm Tire I-1,,10.00,-,15,,Firestone,США,0,8 слоёв,,10.00-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/ftf_m.png,/img/tires/ftf.png,Сельхоз шины,1,1000-15-firestone-farm-tire-i-1-8-sloev,Бескамерная,Диагональная,1
9,8171,0,DURA-LIFE I-1,,10.00,-,15SL,,Titan,США,0,8 слоёв,,10.00-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/dl_m.png,/img/tires/dl.png,Сельхоз шины,1,1000-15-titan-dura-life-i-1-8-sloev,Бескамерная,Диагональная,1
10,9825,0,Farm Implement I-1,,11L,-,15,,Firestone,США,0,12 слоёв,,11L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,11l-15-firestone-farm-implement-i-1-12-sloev,Бескамерная,Диагональная,1
11,8970,0,HI-FLOTATION I-1,,11L,-,15SL,,Titan,США,0,12 слоёв,,11L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,11l-15-titan-hi-flotation-i-1-12-sloev,Бескамерная,Диагональная,1
12,9990,0,HIGHWAY IMPLEMENT F-1,,11L,-,15FI,,Firestone,США,0,F,,11L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,11l-15-firestone-highway-implement-f-1-f,Бескамерная,Диагональная,1
13,10590,0,Farm Implement I-1,,12.5L,-,15,,Firestone,США,0,12 слоёв,,12.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,125l-15-firestone-farm-implement-i-1-12-sloev,Бескамерная,Диагональная,1
14,9670,0,HI-FLOTATION I-1,,12.5L,-,15SL,,Titan,США,0,12 слоёв,,12.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,125l-15-titan-hi-flotation-i-1-12-sloev,Бескамерная,Диагональная,1
15,12330,0,HIGHWAY IMPLEMENT F-1,, 12.5L,-,15FI,,Titan,США,0,F,, 12.5L-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/hwf1_m.png,/img/tires/hwf1.png,Сельхоз шины,1,125l-15-titan-highway-implement-f-1-f,Бескамерная,Диагональная,1
16,10545,0,Rib Implement I-1,,31Х13.5,-,15,,Firestone,США,0,12 слоёв,,31Х13.5-15,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/fi_m.png,/img/tires/fi.png,Сельхоз шины,1,31kh135-15-firestone-rib-implement-i-1-12-sloev,Бескамерная,Диагональная,1
17,9630,0,Flo-Trac Rib HF-1,,31x15.50,-,15NHS,,Titan,США,0,8 слоёв,,31x15.50-15NHS,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/dl_m.png,/img/tires/dl.png,Сельхоз шины,1,31x1550-15nhs-titan-flo-trac-rib-hf-1-8-sloev,Бескамерная,Диагональная,1
18,7285,0,DURA-LIFE I-1,,9.00,-,16SL,,Titan,США,0,10 слоёв,,9.00-16SL,0000-00-00 00:00:00,2015-10-15 09:47:41,/img/tires/dl_m.png,/img/tires/dl.png,Сельхоз шины,1,900-16sl-titan-dura-life-i-1-10-sloev,Бескамерная,Диагональная,1
