США,Firestone,Диагональная,9.5L,-,14,8 слоёв,9.5L-14,9.5L-14,Сельхоз шины,Farm Implement I-1,6 165р.
США,Firestone,Диагональная,11L,-,14,8 слоёв,11L-14,11L-14,Сельхоз шины,Farm Implement I-1,6 880р.
США,Firestone,Диагональная,7.60,-,15,8 слоёв,7.60-15,7.60-15,Сельхоз шины,Farm Implement I-1,6 155р.
США,Titan,Диагональная,7.60,-,15SL,8 слоёв,7.60-15SL,7.60-15,Сельхоз шины,TITAN DURA-LIFE I-1,5 420р.
США,Firestone,Диагональная,9.5L,-,15,12 слоёв,9.5L-15,9.5L-15,Сельхоз шины,Farm Implement I-1,8 395р.
США,Titan,Диагональная,9.5L,-,15SL,12 слоёв,9.5L-15SL,9.5L-15,Сельхоз шины,TITAN HI-FLOTATION I-1,7 390р.
США,Titan,Диагональная,9.5L,-,15FI,F,9.5L-15FI,9.5L-15,Сельхоз шины,TITAN HIGHWAY IMPLEMENT F-1,8 620р.
США,Firestone,Диагональная,10.00,-,15,8 слоёв,10.00-15,10.00-15,Сельхоз шины,Farm Tire I-1,8 795р.
США,Titan,Диагональная,10.00,-,15SL,8 слоёв,10.00-15SL,10.00-15,Сельхоз шины,TITAN DURA-LIFE I-1,8 171р.
США,Firestone,Диагональная,11L,-,15,12 слоёв,11L-15,11L-15,Сельхоз шины,Farm Implement I-1,9 265р.
США,Titan,Диагональная,11L,-,15SL,12 слоёв,11L-15SL,11L-15,Сельхоз шины,TITAN HI-FLOTATION I-1,8 235р.
США,Firestone,Диагональная,11L,-,15FI,F,11L-15FI,11L-15,Сельхоз шины,TITAN HIGHWAY IMPLEMENT F-1,9 100р.
США,Firestone,Диагональная,12.5L,-,15,12 слоёв,12.5L-15,12.5L-15,Сельхоз шины,Farm Implement I-1,9 980р.
США,Titan,Диагональная,12.5L,-,15SL,12 слоёв,12.5L-15SL,12.5L-15,Сельхоз шины,TITAN HI-FLOTATION I-1,8 870р.
США,Titan,Диагональная, 12.5L,-,15FI,F, 12.5L-15FI, 12.5L-15,Сельхоз шины,TITAN HIGHWAY IMPLEMENT F-1,11 200р.
США,Firestone,Диагональная,31Х13.5,-,15,12 слоёв,31Х13.5-15,31Х13.5-15,Сельхоз шины,Rib Implement I-1,9 950р.
США,Titan,Диагональная,31x15.50,-,15NHS,8 слоёв,31x15.50-15NHS,31x15.50-15NHS,Сельхоз шины,TITAN Flo-Trac Rib HF-1,8 840р.
США,Titan,Диагональная,9.00,-,16SL,10 слоёв,9.00-16SL,9.00-16,Сельхоз шины,TITAN DURA-LIFE I-1,7 285р.
США,Firestone,Диагональная,16.5L,-,16.1,14 слоёв,16.5L-16.1,16.5L-16.1,Сельхоз шины,Farm Implement I-1,19 650р.
США,Titan,Диагональная,16.5L,-,16.1FI,E,16.5L-16.1FI,16.5L-16.1,Сельхоз шины,TITAN HIGHWAY IMPLEMENT FI,17 295р.
США,Titan,Диагональная,21.5L,-,16.1SL,18 слоёв,21.5L-16.1SL,21.5L-16.1,Сельхоз шины,TITAN HI-FLOTATION I-1,34 920р.
США,Titan,Диагональная,21.5L,-,16.1SL,8 слоёв,21.5L-16.1SL,21.5L-16.1,Сельхоз шины,TITAN TI422 I-3,24 720р.
Испания,Firestone,Радиальная,340,80,18,143A8,340/80R18,340/80R18,Сельхоз шины,Duraforce Utility,20 970р.
США,Titan,Диагональная,12.5/80,-,18,12 слоёв,12.5/80-18,12.5/80-18,Сельхоз шины,TITAN CONTRACTOR II I-3,14 635р.
США,Firestone,Диагональная,7.50,-,20,6 слоёв,7.50-20,7.50-20,Сельхоз шины,Farm Implement I-1,7 980р.
,Titan,Диагональная,400/70 (16.0/70),-,20,143A8,400/70 (16.0/70)-20,400/70 (16.0/70)-20,Сельхоз шины,TITAN LIFT RIGGER II R-1,23 350р.
США,Firestone,Диагональная,11.2,-,24,8 слоёв,11.2-24,11.2-24,Сельхоз шины,Super All Traction II 23˚ R-1,15 000р.
США,Firestone,Диагональная,14.9,-,24,8 слоёв,14.9-24,14.9-24,Сельхоз шины,Super All Traction II 23˚ R-1   *Cut resistant,22 580р.
США,Titan,Диагональная,14.9,-,24,8 слоёв,14.9-24,14.9-24,Сельхоз шины,TITAN HI-TRACTION LUG R-1,19 880р.
США,Titan,Диагональная,16.9,-,24,14 слоёв,16.9-24,16.9-24,Сельхоз шины,TITAN INDUSTRIAL TRACTOR LUG R-4,27 725р.
США,Titan,Диагональная,17.5L,-,24,12 слоёв,17.5L-24,17.5L-24,Сельхоз шины,TITAN INDUSTRIAL CONTRACTOR R-4,25 550р.
США,Firestone,Диагональная,18.4,-,26,12 слоёв,18.4-26,18.4-26,Сельхоз шины,Traction Field&Road R-1   *Tubeless,36 700р.
США,Titan,Диагональная,18.4,-,26,12 слоёв,18.4-26,18.4-26,Сельхоз шины,TITAN HI-TRACTION LUG R-1,35 530р.
США,Firestone,Диагональная,700,50,26.5,20 слоёв,700/50R26.5,700/50R26.5,Сельхоз шины,Forestry Environmental Lug HF-1,66 560р.
США,Titan,Диагональная,16.9,-,28,12 слоёв,16.9-28,16.9-28,Сельхоз шины,TITAN INDUSTRIAL TRACTOR LUG R-4,30 535р.
США,Firestone,Радиальная,600,65,28,147B,600/65R28,600/65R28,Сельхоз шины,Radial All Traction DT R-1W,72 410р.
Испания,Firestone,Радиальная,600,65,28,154D,600/65R28,600/65R28,Сельхоз шины,Maxi Traction,72 410р.
США,Firestone,Радиальная,420,90,30,145B,420/90R30,420/90R30,Сельхоз шины,Radial All Traction DT R-1W,55 300р.
США,Titan,Радиальная,420,90,30,142A8/B,420/90R30,420/90R30,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,35 375р.
Испания,Firestone,Радиальная,480,70,30,141D,480/70R30,480/70R30,Сельхоз шины,Performer 70,51 990р.
Испания,Firestone,Радиальная,480,70,30,480/70R30480/70R30,480/70R30,480/70R30,Сельхоз шины,Performer 70,54 000р.
США,Firestone,Радиальная,480,70,30,152B,480/70R30,480/70R30,Сельхоз шины,Radial All Traction DT R-1W,54 000р.
США,Firestone,Радиальная,600,70,30,152B,600/70R30,600/70R30,Сельхоз шины,Radial All Traction DT R-1W,88 650р.
Испания,Firestone,Радиальная,600,70,30,158D,600/70R30,600/70R30,Сельхоз шины,Maxi Traction,88 650р.
Испания,Firestone,Радиальная,600,70,30,158A8,600/70R30,600/70R30,Сельхоз шины,Maxi Traction,88 650р.
США,Firestone,Радиальная,600,70,30,162B,600/70R30,600/70R30,Сельхоз шины,Radial All Traction DT R-1W,95 560р.
США,Titan,Радиальная,600,70,30,152A8/B,600/70R30,600/70R30,Сельхоз шины,TITAN AG 49M RADIAL R-1W,75 283р.
США,Firestone,Диагональная,24.5,-,32,12 слоёв,24.5-32,24.5-32,Сельхоз шины,Super All Traction II 23˚ R-1   *Tubeless,77 650р.
США,Titan,Радиальная,24.5,-,32,5* слоёв,24.5-32,24.5-32,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,102 300р.
США,Firestone,Радиальная,650,75,32,172B,650/75R32,650/75R32,Сельхоз шины,Radial All Traction DT R-1W,107 420р.
Испания,Firestone,Радиальная,650,75,32,172B,650/75R32,650/75R32,Сельхоз шины,Maxi Traction,107 420р.
США,Firestone,Диагональная,30.5,-,32,16 слоёв,30.5-32,30.5-32,Сельхоз шины,Super All Traction II 23˚ R-1,114 700р.
США,Firestone,Диагональная,30.5,-,32,26 слоёв,30.5-32,30.5-32,Сельхоз шины,Forestry Special SS LS-2,192 560р.
США,Titan,Диагональная,30.5L,-,32,16 слоёв,30.5L-32,30.5L-32,Сельхоз шины,TITAN HI-TRACTION LUG R-1,96 570р.
США,Firestone,Радиальная,800,65,32,172B,800/65R32,800/65R32,Сельхоз шины,Radial All Traction DT R-1W,131 080р.
Испания,Firestone,Радиальная,800,65,32,178A8,800/65R32,800/65R32,Сельхоз шины,Maxi Traction,131 080р.
США,Titan,Радиальная,800,65,32,172A8/B,800/65R32,800/65R32,Сельхоз шины,TITAN SUPER HI-POWER LUG RADIAL R-1,113 300р.
США,Firestone,Радиальная,900,60,32,176B,900/60R32,900/60R32,Сельхоз шины,Radial All Traction 23˚ R-1,191 130р.
Испания,Firestone,Радиальная,900,60,32,181A8,900/60R32,900/60R32,Сельхоз шины,Maxi Traction,191 130р.
США,Firestone,Диагональная,73X44,-,32,16 слоёв,73X44-32,73X44-32,Сельхоз шины,Flotation 23˚ Deep Tread HF-3,202 530р.
Испания,Firestone,Радиальная,460,85,34,147A8,460/85R34,460/85R34,Сельхоз шины,Performer 85,45 030р.
Испания,Firestone,Радиальная,520,70,34,148D,520/70R34,520/70R34,Сельхоз шины,Performer 70,53 860р.
США,Titan,Радиальная,320,85,38,138A8/B,320/85R38,320/85R38,Сельхоз шины,TITAN TT49V R-1W,39 360р.
США,Firestone,Диагональная,18.4,-,38,8 слоёв,18.4-38,18.4-38,Сельхоз шины,Super All Traction II 23˚ R-1   *Cut resistant,27 620р.
Испания,Firestone,Радиальная,480,70,38,145D,480/70R38,480/70R38,Сельхоз шины,Performer 70,54 000р.
США,Firestone,Радиальная,520,85,38,155B,520/85R38,520/85R38,Сельхоз шины,Radial All Traction 23˚ R-1,69 790р.
Испания,Firestone,Радиальная,520,85,38,155A8,520/85R38,520/85R38,Сельхоз шины,Performer 85,69 790р.
США,Titan,Радиальная,520,85,38,160A8/B,520/85R38,520/85R38,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,61 427р.
США,Firestone,Радиальная,650,85,38,173B,650/85R38,650/85R38,Сельхоз шины,Radial Deep Tread 23˚ R-1W,125 700р.
Испания,Firestone,Радиальная,650,85,38,173D,650/85R38,650/85R38,Сельхоз шины,Maxi Traction,125 700р.
США,Firestone,Радиальная,710,70,38,166B,710/70R38,710/70R38,Сельхоз шины,Radial All Traction DT R-1W,138 050р.
Испания,Firestone,Радиальная,710,70,38,171D,710/70R38,710/70R38,Сельхоз шины,Maxi Traction,138 050р.
США,Titan,Радиальная,710,70,38,166A8/B,710/70R38,710/70R38,Сельхоз шины,TITAN AG 49M RADIAL R-1W,121 500р.
США,Firestone,Радиальная,800,70,38,173B,800/70R38,800/70R38,Сельхоз шины,Radial Deep Tread 23˚ R-1W,154 420р.
Испания,Firestone,Радиальная,800,70,38,184D,800/70R38,800/70R38,Сельхоз шины,Maxi Traction,154 420р.
США,Firestone,Радиальная,520,85,42,157B,520/85R42,520/85R42,Сельхоз шины,Radial All Traction 23˚ R-1,76 920р.
Испания,Firestone,Радиальная,520,85,42,162D,520/85R42,520/85R42,Сельхоз шины,Performer 85 ,76 920р.
США,Firestone,Радиальная,520,85,42,165B,520/85R42,520/85R42,Сельхоз шины,Radial All Traction 23˚ R-1,82 300р.
США,Titan,Радиальная,520,85,42,157A8/B,520/85R42,520/85R42,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,67 700р.
США,Firestone,Радиальная,620,70,42,160B,620/70R42,620/70R42,Сельхоз шины,Radial All Traction DT R-1W,115 600р.
Испания,Firestone,Радиальная,620,70,42,160A8,620/70R42,620/70R42,Сельхоз шины,Maxi Traction,115 600р.
Испания,Firestone,Радиальная,620,70,42,166D,620/70R42,620/70R42,Сельхоз шины,Maxi Traction,115 600р.
США,Titan,Радиальная,620,70,42,160A8/B,620/70R42,620/70R42,Сельхоз шины,TITAN AG 49M RADIAL R-1W,101 735р.
Испания,Firestone,Радиальная,650,65,42,158D,650/65R42,650/65R42,Сельхоз шины,Performer 65,97 480р.
США,Firestone,Радиальная,710,70,42,168B,710/70R42,710/70R42,Сельхоз шины,Radial All Traction DT R-1W,150 280р.
Испания,Firestone,Радиальная,710,70,42,173D,710/70R42,710/70R42,Сельхоз шины,Maxi Traction,150 280р.
США,Titan,Радиальная,710,70,42,179A8/B,710/70R42,710/70R42,Сельхоз шины,TITAN AG 49M RADIAL R-1W,132 450р.
США,Firestone,Радиальная,320,90,46,148B,320/90R46,320/90R46,Сельхоз шины,Radial 9000 R-1W,58 140р.
США,Titan,Радиальная,320,90,46,156A8/B,320/90R46,320/90R46,Сельхоз шины,TITAN TT49V R-1W,47 100р.
США,Titan,Радиальная,380,90,46,156A8/B,380/90R46,380/90R46,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,53 040р.
США,Firestone,Радиальная,480,80,46,158B,480/80R46,480/80R46,Сельхоз шины,Radial All Traction 23˚ R-1,86 090р.
США,Titan,Радиальная,480,80,46,158A8/B,480/80R46,480/80R46,Сельхоз шины,TITAN HI-TRACTION LUG RADIAL R-1,58 815р.
США,Firestone,Радиальная,380,90,50,151B,380/90R50,380/90R50,Сельхоз шины,Radial 9000 R-1W,66 190р.
США,Firestone,Радиальная,380,105,50,168B,380/105R50,380/105R50,Сельхоз шины,Radial 9100 R-1,133 250р.
США,Firestone,Радиальная,320,90,54,149B,320/90R54,320/90R54,Сельхоз шины,Radial All Traction DT R-1W,75 590р.
США,Titan,Радиальная,320,90,54,154A8/B,320/90R54,320/90R54,Сельхоз шины,TITAN TT49V R-1W,66 525р.
